Species,Match type,ScientificName,ScientificName_accepted
Ablennes hians,exact,Ablennes hians,Ablennes hians
Abramis brama,exact,Abramis brama,Abramis brama
Abudefduf saxatilis,exact,Abudefduf saxatilis,Abudefduf saxatilis
Acantholabrus palloni,exact,Acantholabrus palloni,Acantholabrus palloni
Acantholiparis opercularis,exact,Acantholiparis opercularis,Acantholiparis opercularis
Acantholumpenus mackayi,exact,Acantholumpenus mackayi,Acantholumpenus mackayi
Acanthostracion polygonius,exact,Acanthostracion polygonius,Acanthostracion polygonius
Acanthostracion quadricornis,exact,Acanthostracion quadricornis,Acanthostracion quadricornis
Acanthurus bahianus,exact,Acanthurus bahianus,Acanthurus bahianus
Acanthurus chirurgus,exact,Acanthurus chirurgus,Acanthurus chirurgus
Acanthurus coeruleus,exact,Acanthurus coeruleus,Acanthurus coeruleus
Achirus lineatus,exact,Achirus lineatus,Achirus lineatus
Acipenser medirostris,exact,Acipenser medirostris,Acipenser medirostris
Acipenser oxyrinchus,exact,Acipenser oxyrinchus,Acipenser oxyrinchus
Adelosebastes latens,exact,Adelosebastes latens,Adelosebastes latens
Aetobatus narinari,exact,Aetobatus narinari,Aetobatus narinari
Agonopsis sterletus,exact,Agonopsis sterletus,Agonopsis sterletus
Agonopsis vulsa,exact,Agonopsis vulsa,Agonopsis vulsa
Agonus cataphractus,exact,Agonus cataphractus,Agonus cataphractus
Albatrossia pectoralis,exact,Albatrossia pectoralis,Albatrossia pectoralis
Alectis ciliaris,exact,Alectis ciliaris,Alectis ciliaris
Alepisaurus ferox,exact,Alepisaurus ferox,Alepisaurus ferox
Alepocephalus tenebrosus,exact,Alepocephalus tenebrosus,Alepocephalus tenebrosus
Allocareproctus jordani,exact,Allocareproctus jordani,Allocareproctus jordani
Allocareproctus kallaion,exact,Allocareproctus kallaion,Allocareproctus kallaion
Allocareproctus tanix,exact,Allocareproctus tanix,Allocareproctus tanix
Allocareproctus unangas,exact,Allocareproctus unangas,Allocareproctus unangas
Allocareproctus ungak,exact,Allocareproctus ungak,Allocareproctus ungak
Allocyttus folletti,exact,Allocyttus folletti,Allocyttus folletti
Allosmerus elongatus,exact,Allosmerus elongatus,Allosmerus elongatus
Alopias superciliosus,exact,Alopias superciliosus,Alopias superciliosus
Alopias vulpinus,exact,Alopias vulpinus,Alopias vulpinus
Alosa aestivalis,exact,Alosa aestivalis,Alosa aestivalis
Alosa agone,exact,Alosa agone,Alosa agone
Alosa alosa,exact,Alosa alosa,Alosa alosa
Alosa chrysochloris,exact,Alosa chrysochloris,Alosa chrysochloris
Alosa fallax,exact,Alosa fallax,Alosa fallax
Alosa mediocris,exact,Alosa mediocris,Alosa mediocris
Alosa pseudoharengus,exact,Alosa pseudoharengus,Alosa pseudoharengus
Alosa sapidissima,exact,Alosa sapidissima,Alosa sapidissima
Aluterus heudeloti,phonetic,Aluterus heudelotii,Aluterus heudelotii
Aluterus heudelotti,phonetic,Aluterus heudelotii,Aluterus heudelotii
Aluterus monoceros,exact,Aluterus monoceros,Aluterus monoceros
Aluterus schoepfii,exact,Aluterus schoepfii,Aluterus schoepfii
Aluterus scriptus,exact,Aluterus scriptus,Aluterus scriptus
Amblyraja badia,exact,Amblyraja badia,Amblyraja badia
Amblyraja hyperborea,exact,Amblyraja hyperborea,Amblyraja hyperborea
Amblyraja radiata,exact,Amblyraja radiata,Amblyraja radiata
Ammodytes americanus,exact,Ammodytes americanus,Ammodytes americanus
Ammodytes dubius,exact,Ammodytes dubius,Ammodytes dubius
Ammodytes hexapterus,exact,Ammodytes hexapterus,Ammodytes hexapterus
Ammodytes marinus,exact,Ammodytes marinus,Ammodytes marinus
Ammodytes personatus,exact,Ammodytes personatus,Ammodytes personatus
Ammodytes tobianus,exact,Ammodytes tobianus,Ammodytes tobianus
Amphistichus argenteus,exact,Amphistichus argenteus,Amphistichus argenteus
Amphistichus rhodoterus,exact,Amphistichus rhodoterus,Amphistichus rhodoterus
