family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Triglidae,Eutrigla,gurnardus,22,27,species,139,fb,TL,spe-LME,3.139666637,0.005433333
Callionymidae,Callionymus,lyra,22,27,species,139,fb,TL,spe-LME,2.677666664,0.0118
Soleidae,Solea,solea,22,27,species,139,fb,TL,spe-LME,3.116742849,0.006457714
Gadidae,Gadus,morhua,22,27,species,139,fb,TL,spe-LME,3.082500021,0.007195
Pleuronectidae,Hippoglossoides,platessoides,22,27,species,139,fb,TL,spe-LME,3.203999996,0.0044
Pleuronectidae,Limanda,limanda,22,27,species,139,fb,TL,spe-LME,3.100999975,0.007762
Gadidae,Merlangius,merlangus,22,27,species,139,fb,TL,spe-LME,3.180499911,0.004825
Pleuronectidae,Pleuronectes,platessa,22,27,species,139,fb,TL,spe-LME,3.120999932,0.00778
Scombridae,Scomber,scombrus,22,27,species,139,fb,TL,spe-LME,3.084000111,0.00533
Gadidae,Trisopterus,minutus,22,27,species,139,fb,TL,spe-LME,3.026000023,0.0092
Clupeidae,Clupea,harengus,22,27,species,139,fb,TL,spe-LME,3.073495344,0.006693093
Lotidae,Gaidropsarus,vulgaris,22,27,species,139,fb,TL,spe-LME,2.959000111,0.0108
Pleuronectidae,Microstomus,kitt,22,27,species,139,fb,TL,spe-LME,3.044999957,0.00875
Clupeidae,Sprattus,sprattus,22,27,species,139,fb,TL,spe-LME,3.220000029,0.0041
Gadidae,Trisopterus,esmarkii,22,27,species,139,fb,TL,spe-LME,3,0.0067
Gadidae,Melanogrammus,aeglefinus,22,27,species,139,fb,TL,spe-Ocean,3.11500001,0.00618
Gadidae,Trisopterus,luscus,22,27,species,139,fb,TL,spe-LME,3.179499984,0.0073225
Cyclopteridae,Cyclopterus,lumpus,22,27,species,139,fb,TL,spe-LME,2.938999891,0.058699999
Rajidae,Amblyraja,radiata,22,27,species,139,fb,TL,spe-FAO,2.190000057,0.157000005
