"family","genus","species","lme","fao","level","FB_E_Code","source","type.length","taxo","b","a"
"Triglidae","Eutrigla","gurnardus",22,27,"species",139,"fb","TL","spe-LME",3.13966663678487,0.00543333341677984
"Callionymidae","Callionymus","lyra",22,27,"species",139,"fb","TL","spe-LME",2.67766666412354,0.0118000001336137
"Soleidae","Solea","solea",22,27,"species",139,"fb","TL","spe-LME",3.11674284934998,0.00645771429740957
"Gadidae","Gadus","morhua",22,27,"species",139,"fb","TL","spe-LME",3.08250002066294,0.00719499991585811
"Pleuronectidae","Hippoglossoides","platessoides",22,27,"species",139,"fb","TL","spe-LME",3.2039999961853,0.00439999997615814
"Pleuronectidae","Limanda","limanda",22,27,"species",139,"fb","TL","spe-LME",3.10099997520447,0.00776200005784631
"Gadidae","Merlangius","merlangus",22,27,"species",139,"fb","TL","spe-LME",3.18049991130829,0.00482499983627349
"Pleuronectidae","Pleuronectes","platessa",22,27,"species",139,"fb","TL","spe-LME",3.12099993228912,0.00778000010177493
"Scombridae","Scomber","scombrus",22,27,"species",139,"fb","TL","spe-LME",3.08400011062622,0.00533000007271767
"Gadidae","Trisopterus","minutus",22,27,"species",139,"fb","TL","spe-LME",3.02600002288818,0.00920000020414591
"Clupeidae","Clupea","harengus",22,27,"species",139,"fb","TL","spe-LME",3.07349534367406,0.00669309300868664
"Lotidae","Gaidropsarus","vulgaris",22,27,"species",139,"fb","TL","spe-LME",2.95900011062622,0.0108000002801418
"Pleuronectidae","Microstomus","kitt",22,27,"species",139,"fb","TL","spe-LME",3.04499995708466,0.0087500000372529
"Clupeidae","Sprattus","sprattus",22,27,"species",139,"fb","TL","spe-LME",3.22000002861023,0.00410000002011657
"Gadidae","Trisopterus","esmarkii",22,27,"species",139,"fb","TL","spe-LME",3,0.00670000002719462
"Gadidae","Melanogrammus","aeglefinus",22,27,"species",139,"fb","TL","spe-Ocean",3.11500000953674,0.00618000002577901
"Gadidae","Trisopterus","luscus",22,27,"species",139,"fb","TL","spe-LME",3.17949998378754,0.00732250011060387
"Cyclopteridae","Cyclopterus","lumpus",22,27,"species",139,"fb","TL","spe-LME",2.93899989128113,0.0586999990046024
"Rajidae","Amblyraja","radiata",22,27,"species",139,"fb","TL","spe-FAO",2.19000005722046,0.157000005245209
"Squalidae","Squalus","acanthias",22,27,"species",139,"fb","TL","spe-Ocean",3.03825001716614,0.00534400002215989
"Anarhichadidae","Anarhichas","lupus",22,27,"species",139,"fb","TL","spe-LME",3.15966669718424,0.00510000018402934
"Gadidae","Pollachius","virens",22,27,"species",139,"fb","TL","spe-Ocean",2.96300005912781,0.010329999960959
"Gadidae","Pollachius","pollachius",22,27,"species",139,"fb","TL","spe-LME",3.10833334922791,0.00595333334058523
"Sebastidae","Sebastes","",22,27,"genus",139,"fb","TL","gen-LME",3.13700008392334,0.0115000000223517
"Lotidae","Molva","molva",22,27,"species",139,"fb","TL","spe-LME",3.25499999523163,0.00243000005139038
"Agonidae","Agonus","cataphractus",22,27,"species",139,"fb","TL","spe-LME",2.61400008201599,0.0196000002324581
"Rajidae","Raja","clavata",22,27,"species",139,"fb","TL","spe-LME",3.19749999046326,0.0032150000333786
"Scophthalmidae","Scophthalmus","maximus",22,27,"species",139,"fb","TL","spe-LME",3.0541111363305,0.0157688889238569
"Lotidae","Enchelyopus","cimbrius",22,27,"species",139,"fb","TL","spe-LME",3.10599994659424,0.00350000010803342
"Pleuronectidae","Glyptocephalus","cynoglossus",22,27,"species",139,"fb","TL","spe-LME",3.28666671117147,0.00240000007518878
"Lophiidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.86999996503194,0.024700000261267
"Argentinidae","Argentina","",22,27,"genus",139,"fb","TL","gen-LME",3.05299997329712,0.00529999984428287
"Pleuronectidae","Platichthys","flesus",22,27,"species",139,"fb","TL","spe-LME",2.92062503099442,0.0155636250856332
"Rajidae","Dipturus","",22,27,"genus",139,"fb","TL","gen-FAO",3.53900003433228,0.00047999998787418
"Rajidae","Leucoraja","naevus",22,27,"species",139,"fb","TL","spe-FAO",3.31100002924601,0.00191666667039196
"Stichaeidae","Lumpenus","lampretaeformis",22,27,"species",139,"fb","TL","spe-Ocean",2.08999991416931,0.0164000000804663
"Merlucciidae","Merluccius","merluccius",22,27,"species",139,"fb","TL","spe-LME",3.09049999713898,0.00454799993894994
"Cottidae","Triglops","murrayi",22,27,"species",139,"fb","TL","spe-Ocean",3,0.00880332756787539
"Scyliorhinidae","Scyliorhinus","canicula",22,27,"species",139,"fb","TL","spe-LME",2.90400004386902,0.00335999997332692
"Gadidae","Micromesistius","poutassou",22,27,"species",139,"fb","TL","spe-LME",3.08200001716614,0.00374999991618097
"Rajidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.1966667175293,0.00338999996893108
"Carangidae","Trachurus","trachurus",22,27,"species",139,"fb","TL","spe-LME",3.20174998044968,0.0045474999351427
"Callionymidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.65275001525879,0.0129000002052635
"Lophiidae","Lophius","piscatorius",22,27,"species",139,"fb","TL","spe-LME",2.86999996503194,0.024700000261267
"Cottidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.12933333714803,0.0118999999637405
"Gobiidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3,0.0110999997705221
"Ammodytidae",NA,"",22,27,"family",139,"fb","TL","fam-FAO",2.55999994277954,0.00980000011622906
"Scophthalmidae","Lepidorhombus","whiffiagonis",22,27,"species",139,"fb","TL","spe-FAO",3.12202495336533,0.00476249994244426
"Scophthalmidae","Scophthalmus","rhombus",22,27,"species",139,"fb","TL","spe-LME",3.03377781973945,0.014931111337824
"Clupeidae","Alosa","",22,27,"genus",139,"fb","TL","gen-LME",3.05157142593747,0.00852047629831802
"Rajidae","Raja","brachyura",22,27,"species",139,"fb","TL","spe-LME",3.23300004005432,0.00280999997630715
"Soleidae","Buglossidium","luteum",22,27,"species",139,"fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"Rajidae","Raja","montagui",22,27,"species",139,"fb","TL","spe-LME",3.31100010871887,0.00200999993830919
"Scophthalmidae","Phrynorhombus","norvegicus",22,27,"species",139,"fb","TL","spe-LME",2.90499997138977,0.016100000590086
"Soleidae","Microchirus","variegatus",22,27,"species",139,"fb","TL","spe-LME",3.0789999961853,0.00889999978244305
"Callionymidae","Callionymus","",22,27,"genus",139,"fb","TL","gen-LME",2.65275001525879,0.0129000002052635
"Sparidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.10726001262665,0.0210950003005564
"Triglidae","Chelidonichthys","cuculus",22,27,"species",139,"fb","TL","spe-LME",3.27766664822896,0.00408333322654168
"Bothidae",NA,"",22,27,"family",139,"fb","TL","fam-FAO",3.14766667286555,0.00801749996996174
"Scophthalmidae","Zeugopterus","regius",22,27,"species",139,"fb","TL","gen-LME",3.14599990844727,0.0138999996706843
"Bothidae","Arnoglossus","laterna",22,27,"species",139,"fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
